name;price;change_1_hour;change_24_hours;change_7_days;volume_24_hors;mkt_cap
Gate;$4.11;0.2%;1.9%;7.4%;$430,245;$597,961,426
Dash;$53.58;0.3%;2.0%;3.4%;$91,348,070;$594,713,027
NEO;$8.13;0.4%;0.6%;5.0%;$27,051,668;$573,045,709
Gemini Dollar;$0.999251;-0.1%;-0.1%;0.0%;$234,085;$572,515,540
Tokenize Xchange;$7.01;0.2%;0.9%;3.4%;$9,424,120;$560,720,295
ImmutableX;$0.713996;1.3%;10.9%;21.0%;$31,307,904;$560,299,601
OKC;$31.02;0.7%;2.2%;6.6%;$3,830,950;$553,644,148
cUSDC;$0.022733586938;-0.0%;0.0%;0.3%;$9.35;$547,868,670
THORChain;$1.79;1.0%;1.1%;2.2%;$79,268,550;$536,987,871
Osmosis;$0.996162;0.1%;10.5%;16.4%;$100,754,830;$517,465,662
PAX Gold;$1,916.94;0.0%;0.1%;0.8%;$7,935,082;$517,267,590
Arweave;$10.06;1.2%;2.3%;10.7%;$57,502,023;$503,449,377
Mina Protocol;$0.598779;1.8%;-0.1%;7.9%;$33,698,454;$485,304,395
Optimism;$2.24;0.0%;-3.1%;22.7%;$304,690,116;$480,355,075
cETH;$32.86;0.2%;0.6%;5.3%;$70.27;$477,034,001
NEXO;$0.845423;0.2%;2.1%;15.0%;$9,522,507;$473,078,205
Terra;$2.32;1.5%;-0.8%;12.3%;$208,921,442;$468,597,571
cDAI;$0.022182531984;0.0%;0.2%;-0.2%;$1,613.29;$468,050,731
Tether Gold;$1,897.62;0.1%;0.7%;0.0%;$739,193;$467,001,370
Zilliqa;$0.028390307113;1.2%;3.3%;9.7%;$95,695,072;$456,221,169
EthereumPoW;$4.11;0.6%;2.7%;8.7%;$20,303,101;$441,988,734
Flare;$0.039944763912;-0.6%;-0.7%;-7.8%;$11,244,310;$437,716,338
Enjin Coin;$0.436589;0.8%;-0.7%;21.1%;$72,156,765;$436,567,526
Radix;$0.042851039163;1.0%;2.5%;3.3%;$530,585;$431,130,205
1inch;$0.535975;0.2%;1.9%;7.6%;$50,441,840;$429,679,100
GMX;$50.96;1.0%;1.8%;-0.5%;$35,158,657;$427,697,803
BTSE Token;$2.77;-0.0%;23.0%;24.8%;$344,629;$427,158,657
